CO_CNES;NO_FANTASIA;NO_BAIRRO;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE
2604868;CENTRO MEDICO DR MANOEL MEDEIROS MAIA ITAPORANGA;BELA VISTA;4;2507002;-7.307431412316865;-38.1570839881897
2604906;CENTRO DE SAUDE DO MUNICIPIO;CENTRO;2;2507002;-7.305412203445113;-38.1485911726595
2794047;HEMONUCLEO DE ITAPORANGA;CENTRO;69;2507002;-7.306791;-38.153627
2356759;UNIDADE DE SAUDE DA FAMILIA ROSEIRA;ROSEIRA;2;2507101;-6.825030030917701;-35.24057934347242
2592711;UNIDADE DE SAUDE DA FAMILIA SAO JOAO;SAO JOAO III;2;2507101;-6.832761964871447;-35.25697997927749
2597233;UNIDADE DE SAUDE DA FAMILIA CENTRO;CENTRO;2;2507101;-6.827991119589598;-35.24806031203085
2756145;USF INTEGRADA VIVER BEM;TREZE DE MAIO;2;2507507;-7.1077322;-34.8679551
2756161;USF INTEGRADA SANTA CLARA;CASTELO BRANCO;2;2507507;-7.1310267;-34.8493905
2798514;USF ALTO DO MATEUS I;ALTO DO MATEUS;2;2507507;-7.1362207;-34.9128402
2798565;USF INTEGRADA JARDIM PLANALTO;OITIZEIRO;2;2507507;-7.1522214;-34.8953786
2597381;EUWAN CARLOS BATISTA DE OLIVEIRA;CENTRO;36;2516300;-7.670519699455472;-36.87713921070099
2597454;CLINICA ODONTOLOGICA SUME LTDA;CENTRO;22;2516300;-7.671683993242389;-36.88002526760101
2757354;FARMACIA CENTRAL DO MUNICIPIO;CENTRO;43;2503704;-6.88416363401288;-38.55471611022949
2757370;UNIDADE DE VIGILANCIA SANITARIA;CENTRO;50;2503704;-6.884121028064504;-38.55452299118042
2504626;UNIDADE BASICA DE SAUDE FRANCISCO ALVES MUTIRAO I;PIO X;2;2503704;-6.884440572584119;-38.56072425842285
2504669;UNIDADE SAUDE DA FAMILIA NILSON LOPES CRISTO REI;CRISTO REI;2;2503704;-6.888871567739741;-38.554179668426514
2504685;UNIDADE SAUDE DA FAMILIA MARIA JOSE DE JESUS DR COELHO;CENTRO;2;2503704;-6.888701145614515;-38.56203317642212
0832537;CENTRO DE ESPECIALIDADES MEDICAS DE AGUIAR;CENTRO;36;2500205;-7.09052281596215;-38.17070424556732
0840386;CENTRO DE FISIOTERAPIA MUNICIPAL;CASA;36;2508901;-6.835593;-35.1238208
0833819;FARMACIAS PAGUE MENOS;CENTRO;43;2511202;-7.402026031459496;-35.11573791503906
0722650;UBSI PEDRO GOMES DOS SANTOS;ZONA RURAL;72;2512903;-6.803;-35.081
0713104;ESTIMA CLINICA I;CENTRO;36;2507507;-7.125847;-34.87833
0731226;L M ACADEMIA;CENTRO;83;2502102;-7.420793583594993;-38.21742296218872
0754536;ODONTOFISIOLAB;MONTE CASTELO;36;2510808;-7.0246767;-37.2876457645
0699268;NASF SANTA TERESINHA;CENTRO;71;2513802;-7.083992;-37.443769
9867961;CONSULTORIO MEDICO DRA SUZETE PATRICIO DE ANDRADE;MIRAMAR;22;2507507;-7.1182251;-34.8397559
9904085;BIOLAB;CENTRO;36;2505105;-6.484802506315957;-36.15177869796753
9927999;CONSULTORIO MEDICO DRA MARIA DA PENHA PEREIRA DE LIMA;CENTRO;22;2507507;-7.109669;-34.864264
9921915;LAB VIDA;CENTRO;80;2502003;-6.1870049;-37.5316824
9941118;CONSULTORIO MEDICO DRA RENATA MOTTA AQUINO DE FREITAS;MIRAMAR;22;2507507;-7.1179904;-34.8368626836803
0999873;VELOSO GUERRA SERVICOS MEDICOS;EXPEDICIONARIOS;36;2507507;-7.1213656;-34.8550397
2921596;INSTITUTO GIOVANNA STEFANI;JARDIM OCEANIA;36;2507507;-7.0973391;-34.8364219
2860635;DLT ORAL CLINIC;JARDIM CIDADE UNIVER;36;2507507;-7.154567;-34.8282886
2839288;PRISCYLLA PALMEIRA DINIZ;ESTACAO VELHA;22;2504009;-7.2411025;-35.9100543
0985724;UNIDADE BASICA DE SAUDE MUTIRAO III;MUTIRAO III;2;2503704;-7.1226992;-38.5040543
2902508;REVITALLE;ESTACAO VELHA;22;2504009;-7.2277386;-35.8846858
2899256;CONSULTORIO ODONTOLOGICO AMANDA EVANGELISTA;CENTRO;22;2507507;-7.1214745;-34.8714484
9026193;LAB DE ANALISES CLINICAS NOSSA SENHORA DA SALETE;CENTRO;39;2502300;-6.446008580281792;-37.92872071266174
9026029;LINDAIR ALVES DA SILVA;MANAIRA;22;2507507;-7.0975675;-34.8417072
9149163;ACADEMIA DE SAUDE COLINAS DO SUL;GRAMAME;74;2507507;-7.14899124272513;-34.87311601638794
9263691;UNIDADE MISTA MUNICIPAL DE SAUDE;CENTRO;15;2506251;-7.583007822037913;-35.791118144989014
9267182;CIC CENTRO DE IMAGENS DE CAJAZEIRAS;CENTRO;36;2503704;-6.887785125642176;-38.558642864227295
9245626;GAMA IMAGEM;CONCEICAO;39;2504009;-7.2133252;-35.8881557
9263837;VIGILANCIA EM SAUDE;CENTRO;50;2506251;-7.582837661854138;-35.79101085662842
9126570;DAVID PESSOA MORANO;PRATA;22;2504009;-7.221568;-35.898918
9124810;ACADEMIA DE SAUDE AVANI RODRIGUES DE OLIVEIRA;CENTRO;74;2500502;-6.955214363737654;-35.541661977767944
9170294;EDLANE PATRICIA SANTANA MOURA DE LIMA;CENTRO;22;2504009;-7.219407;-35.88272
9121803;CENTRO DE ESPECIALIDADES MEDICAS E ODONTOLOGICAS DE ARACAGI;CENTRO;4;2500809;-6.5103969;-35.2300064
9154345;SERVICO DE ATENDIMENTO MOVEL DE URGENCIA SAMU 192 CONDE;CENTRO;42;2504603;-7.267723;-34.9073142
9148353;VIGILANCIA SANITARIA DE MULUNGU;CONJUNTO JOSE ADILIO;50;2509800;-7.034096727479044;-35.46574741601944
9154361;LABORATORIO MUNICIPAL DE ANALISES CLINICAS;CENTRO;80;2515807;-7.178073627428277;-35.67509651184082
9187456;VIGILANCIA EM SAUDE;CENTRO;50;2505600;-7.428091859977565;-38.264222145080566
9162704;UBSF DE SAO JOSE DA BATALHA;ZONA RURAL;2;2513000;-7.076362373228535;-36.83509826660156
0540404;FARMACIA PAGUE MENOS MIRAMAR;MIRAMAR;43;2507507;-7.125013646469298;-34.83659117130859
0555657;FARMACIA BEM VIVER;CENTRO;43;2513703;-7.1581909;-34.9571938
0534803;MERCADAO DOS MEDICAMENTOS;MARCO MOURA;43;2513703;-7.162207;-34.9800847
0549584;FARMACIA NERIS;CONJ TIBIRI II;43;2513703;-7.1308054;-35.0938658
0802581;SIMETRICA ODONTOLOGICA;CENTRO;36;2510808;-7.02700318;-37.27530754571429
0605840;CENTRO DE ATENDIMENTO COVID 19;CENTRO;2;2505600;-7.427868445151351;-38.26486587524414
0800392;BEM DE SAUDE POLICLINICA E CENTRO DE IMAGEM;SAO JOSE;4;2504009;-7.226237;-35.895909
0805459;LUPPA LABORATORIOS CAMILO DE HOLANDA;TORRE;39;2507507;-7.1210874;-34.8782789
0822620;UBS ANCORA DE TANQUES;ZONA RURAL;2;2512036;-6.39490779499492;-38.59167695045471
0818097;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO;50;2512762;-7.1477138;-35.2664378
0784885;ORAL C SB CLINICA ODONTOLOGICA;CENTRO;22;2513901;-6.486380212163495;-37.45104074478149
7599226;CENTRO CAMPINENSE DE PSICOLOGIA E SAUDE;CATOLE;36;2504009;-7.256183;-35.909647
2341891;UNIDADE DE SAUDE DA FAMILIA I;CENTRO;2;2500908;-6.828229390615272;-35.75972557067871
2592045;CENTRO DE SAUDE DE ARARA;CENTRO;4;2500908;-6.834013791814747;-35.763652324676514
2612577;UNIDADE DE SAUDE DA FAMILIA II;CENTRO;2;2500908;-6.834333369951934;-35.76382398605347
2363836;USF III BOQUEIRAO;CENTRO;2;2506400;-7.167662943071208;-35.435028076171875
2363844;USF V MANECOS;ZONA RURAL;2;2506400;-7.132916362482696;-35.37117004394531
2357704;UBS ANCORA BOANERGES DE QUEIROZ ALVES;ZONA RURAL;1;2506509;-7.247195364291812;-36.48900747299194
2592495;UBSF ALBERTO VOUBAN BURITI DE OLIVEIRA;CENTRO;2;2506509;-7.24713150553886;-36.488986015319824
2322188;UNIDADE MISTA DE SAUDE PAULO BEZERRA;CENTRO;15;2506608;-7.49572812007587;-38.4041690826416
2605333;USF TEODOMIRO R ALENCAR;CENTRO;2;2506608;-7.4965659;-38.4052511
2321688;ESTRATEGIA SAUDE DA FAMILIA ZONA URBANA;CENTRO;2;2506707;-7.386223;-37.51037
2607948;UBS PSF III CANAFISTINHA;ZONA RURAL;2;2500809;-6.853422449486395;-35.37494659423828
2607964;UNID ANCORA PSF VI SANTA LUCIA;ZONA RURAL;1;2500809;-6.5014118;-35.1955258
2608014;UBS PSF VII MULUNGUZINHO;ZONA RURAL;2;2500809;-6.892377633094996;-35.34386004246166
2592053;HOSPITAL NATANAEL ALVES;CENTRO;5;2500908;-6.8279691;-35.7565285
2612585;UNIDADE DE SAUDE DA FAMILIA III;ZONA RURAL;2;2500908;-6.842578412005578;-35.79174041748047
2363828;USF IV RIACHO VERDE;ZONA RURAL;2;2506400;-7.119204362926146;-35.42459964752197
2812347;DEPARTAMENTO MUN DE VIGILANCIA SANITARIA DE GURINHEM;CENTRO;50;2506400;-7.1249778;-35.4251376
2605341;USF ELIAS BEIJAMIM;ZONA RURAL;2;2506608;-7.501153034693906;-38.40511322021485
2321696;ESTRATEGIA SAUDE DA FAMILIA SANTO ALEIXO;DISTRITO;2;2506707;-7.333012;-37.397588
9787356;FARMACIA BASICA DE EMAS;CENTRO;43;2505907;-7.108;-37.716
5712688;PROTEGER SERVICOS EM SAUDE;BRASILIA;4;2510808;-7.02644;-37.2751
9885730;LABORATORIO DE PROTESE DENTARIA DE NOVA OLINDA;CENTRO;39;2510204;-7.478495590274965;-38.03923845291138
9921192;LACAM;CENTRO;39;2513208;-6.53247795178656;-38.06132912635803
9927468;ANALISIS;ERNESTO GEISEL;22;2507507;-7.1785977;-34.8784695
9921672;CLINICA INTEGRADA DE SAUDE;CENTRO;36;2510808;-7.029560621137698;-37.2780704498291
0694533;NEVES DIAGNOSTICA;JARDIM OCEANIA;36;2507507;-7.0958854;-34.839054
0683051;MAX MEDICA;JARDIM QUARENTA;4;2504009;-7.235907;-35.898678
0845582;ESF FRANCISCA PEREIRA DE LACERDA;SAO FRANCISCO;2;2500205;-7.095569364817639;-38.16422939300537
0851000;EMPREENDIMENTOS PAGUE MENOS S A;CENTRO;43;2504306;-6.3533721;-37.7466892
0852147;FERNANDO FELIX LAB DE ANALISES CLINICAS E POLICLINICA;CENTRO;36;2505402;-7.288872;-37.088012
0855286;ERIMED CLINICA E ESPECIALIDADES;MONTE SANTO;36;2511400;-6.5113037;-36.3515088
0855294;FAZENDA DA ESPERANCA DOM MARCELO PINTO CAVALHEIRA;CORDEIRO;83;2506301;-6.848869974844564;-35.511223906110224
0855448;CONSULTORIO ODONTOLOGICO DR BRENO ESTEVAM SILVA DE SOUZA;MIRAMAR;22;2507507;-7.1179904;-34.83686268368033
0835978;LABORATORIO DE PROTESE ZELIA FARIAS;CENTRO;22;2501005;-6.5303216;-35.7386364
0934550;THALLES PALMEIRA ESPACO TERAPEUTICO;LAURITZEN;22;2504009;-7.2130074;-35.8830892
9399747;BIOCLIN;CENTRO;36;2506301;-6.850247;-35.490356
9388060;FARMACIA BASICA MUNICIPAL MARIA EUGENIA SANTANA;CENTRO;43;2503605;-6.61513;-35.46726
9366636;CENTROCARDIO;PRATA;22;2504009;-7.223488;-35.898091
9374655;CARDIOMED SERVICOS MEDICOS LTDA;JARDIM SORRILANDIA I;36;2516201;-6.77239434056783;-38.22976643930326
9376429;PRO SANGUE DIAGNOSTICO;JOSE PINHEIRO;39;2504009;-7.224054;-35.8727
9374884;CENTRO DE DIAGNOSTICO;BELA VISTA;39;2504009;-7.221594;-35.898915
9377506;CER II VITORIA PEREIRA OLIVEIRA;CENTRO;36;2504306;-6.344;-37.747
9362460;KIDSCLIN FISIOTERAPIA PEDIATRICA;CENTRO;36;2507507;-7.1169452;-34.8818247
9370811;CLINICA DE ACUPUNTURA E FISIOTERAPIA;CENTRO;22;2508901;-6.8334555;-35.125760799999966
9376380;VITOR THADEU DO VALE VITORINO;PRATA;22;2504009;-7.217592;-35.895034
9558330;MED ESPACO CENTER;CENTRO;36;2507002;-7.3057679259719155;-38.1527250212637
9621814;LABORATORIO DE ANALISES CLINICAS JOSEFA GUIMARAES DA COSTA;CENTRO;80;2500734;-7.566012741751146;-37.06055402755737
6284302;CENTRO DE ATENCAO PSICOSSOCIAL CAPS I;POPULARES;70;2500700;-6.725280975494939;-38.448779582977295
2757753;LABORATORIO CENTRAL LAGOA SECA;CENTRO;39;2508307;-7.176711;-35.85381
6630316;VIGILANCIA SANITARIA DO MUNCIPIO DE SANTA CRUZ;CENTRO;50;2513208;-6.537013412053234;-38.06236982345581
2612658;CITOANALISE;PRATA;39;2504009;-7.22029;-35.897133
3451763;UBS ALTO DA BOA VISTA IRACEMA DA SILVA PONTES;ALTO DA BOA;2;2506301;-6.846567643707317;-35.5026876669916
7963963;FARMACIA ATENCAO BASICA;CENTRO;43;2511608;-6.8655799;-35.6103627
9352899;UBS ALUISIO SALVIANO DE FARIAS;TRES IRMAS;2;2504009;-7.265437;-35.931867
9333843;ODONTO DIAS;ESTADOS;36;2507507;-7.1196696;-34.850149
9349308;ORTHO PREMIUM HARMONIA FACIAL;TAMBIA;36;2507507;-7.1151508;-34.8794796
9350780;CLINICA DE ONCOLOGIA DE CAMPINA GRANDE LTDA EPP;ESTREITO;36;2516201;-6.765284042462275;-38.22783009819081
9373438;LABMED CENTER;CENTRO;39;2502805;-6.3458385570770846;-37.49934196472168
9513264;GTEL GRUPO TECNICO DE ELETROMECANICA S A;ZONA RURAL;1;2508802;-6.913944254798383;-37.55650520324707
9527850;COR VISUAL;PRATA;22;2504009;-7.221021;-35.896816
9492879;ONDONTOIMAGEM;CENTRO;36;2503704;-6.886080897730719;-38.560616970062256
